id_0;fid_unidad;cod_le;cod_ue_det;des_ue_det;cod_dep;nom_dep;cod_prov;nom_prov;cod_mun;nom_mun;cod_mod_ap;modalidad;cod_le_12;cod_ue;des_ue;area;cod_depn;cant_2020;crec_anual;cant_2024
35;6335;71720037;71720049;CAADON BUENA VISTA;6;Tarija;2;Arce;1;Padcaya;1;Regular;71720037;71720049;CAADON BUENA VISTA;R;1;750;10;
36;13260;81720030;81720031;ISMAEL MONTES;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720030;81720031;ISMAEL MONTES;R;1;844;6;
37;13261;81720031;81720032;SAN TELMO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720031;81720032;SAN TELMO;R;1;481;2;
38;13246;81720016;81720017;LA GOMA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720016;81720017;LA GOMA;R;1;223;6;
39;13311;81720085;81720089;EL TIGRE;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720085;81720089;EL TIGRE;R;1;208;5;
40;13254;81720024;81720025;SAN ROQUE;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720024;81720025;SAN ROQUE;R;1;316;1;
41;13256;81720026;81720027;JUAN PABLO II;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720026;81720027;JUAN PABLO II;R;1;432;2;
42;13263;81720033;81720034;TREMENTINAL;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720033;81720034;TREMENTINAL;R;1;439;5;
43;13252;81720022;81720023;NOGALITOS;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720022;81720023;NOGALITOS;R;1;451;10;
44;13251;81720021;81720022;NARANJO AGRIO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720021;81720022;NARANJO AGRIO;R;1;590;9;
45;13250;81720020;81720021;NARANJAL;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720020;81720021;NARANJAL;R;1;453;9;
46;13259;81720029;81720030;SAN RAMON;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720029;81720030;SAN RAMON;R;1;62;2;
47;13262;81720032;81720033;SANTA CLARA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720032;81720033;SANTA CLARA;R;1;704;8;
48;13257;81720027;81720028;SALADO CONCHAS;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720027;81720028;SALADO CONCHAS;R;1;626;2;
49;13306;81720080;81720085;SAN ANTONIO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720080;81720085;SAN ANTONIO;R;1;478;9;
50;13269;81720039;81720040;EL LIMAL;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720039;81720040;EL LIMAL;R;1;456;1;
51;11982;81390019;81390019;RIO CHILENAS;5;Potosi;10;Sur Lipez;3;San Antonio de Esmoraca;1;Regular;81390019;81390019;RIO CHILENAS;R;1;555;0;
52;13280;81720051;81720052;EL BADEN;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720051;81720052;EL BADEN;R;1;230;4;
53;13271;81720041;81720042;EMBOROZU;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720041;81720042;EMBOROZU;R;1;892;5;
54;13305;81720079;"81720080;81720091";"EMBOROZU ADULTOS;EMBOROZU EDUCACION PERMANENTE";6;Tarija;2;Arce;1;Padcaya;2;Alternativa;81720079;81720080;EMBOROZU ADULTOS;R;2;617;7;
55;13294;81720066;81720067;SALADO NORTE;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720066;81720067;SALADO NORTE;R;1;707;6;
56;3097;61710058;61710069;ESMERALDA;6;Tarija;3;Gran Chaco;3;Villamontes;1;Regular;61710058;61710069;ESMERALDA;R;1;12;9;
57;13277;81720048;81720049;EDUARDO ABAROA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720048;81720049;EDUARDO ABAROA;R;1;666;9;
58;6264;71710008;71710008;JOSE ANTONIO DE SUCRE;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;71710008;71710008;JOSE ANTONIO DE SUCRE;R;1;801;1;
59;13286;81720057;81720058;SIDRAS;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720057;81720058;SIDRAS;R;1;691;10;
60;13304;81720077;81720045;LA CAPILLA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720077;81720045;LA CAPILLA;R;1;517;7;
61;13275;81720046;"81720047;81720076";"OSCAR HIZA BASTIAS;OSCAR ALFARO";6;Tarija;2;Arce;1;Padcaya;1;Regular;81720046;81720047;OSCAR HIZA BASTIAS;R;1;735;0;
62;6287;71710032;71710032;JUANA AZURDUY DE PADILLA;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;71710032;71710032;JUANA AZURDUY DE PADILLA;R;1;559;1;
63;13315;81720089;81720094;1 DE ABRIL;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720089;81720094;1 DE ABRIL;R;1;193;3;
64;3093;61710050;61710061;LA VICTORIA;6;Tarija;3;Gran Chaco;3;Villamontes;1;Regular;61710050;61710061;LA VICTORIA;R;1;486;2;
65;13312;81720086;81720090;ACHERALITO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720086;81720090;ACHERALITO;R;1;995;1;
66;6276;71710020;71710020;27 DE MAYO DE SAN NICOLAS;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;71710020;71710020;27 DE MAYO DE SAN NICOLAS;R;1;753;7;
67;13244;81720014;81720015;SAN JOSE;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720014;81720015;SAN JOSE;R;1;632;6;
68;13302;81720075;81720069;SANTA ROSA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720075;81720069;SANTA ROSA;R;1;262;5;
69;11977;81390014;81390014;ANTOFAGASTA DE RIO MOJON;5;Potosi;10;Sur Lipez;3;San Antonio de Esmoraca;1;Regular;81390014;81390014;ANTOFAGASTA DE RIO MOJON;R;1;567;2;
70;13287;81720059;81720060;SAN ANTONIO DE MECOYA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720059;81720060;SAN ANTONIO DE MECOYA;R;1;339;3;
71;13284;81720055;81720056;RIO NEGRO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720055;81720056;RIO NEGRO;R;1;834;2;
72;6286;71710031;71710031;2 DE AGOSTO;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;71710031;71710031;2 DE AGOSTO;R;1;760;1;
73;13310;81720084;81720087;YERBA BUENA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720084;81720087;YERBA BUENA;R;1;321;8;
74;11659;81340072;81340074;VILLAZON;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340072;81340074;VILLAZON;U;3;757;3;
75;11595;81340003;"81340003;81340080";"ALONSO DE IBAEZ;ALONSO DE IBAEZ B";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340003;81340003;ALONSO DE IBAEZ;U;1;352;7;
76;11654;81340066;81340068;CIDEA;5;Potosi;15;Modesto Omiste;1;Villazon;2;Alternativa;81340066;81340068;CIDEA;U;1;721;1;
77;11661;81340074;81340076;CIDEA;5;Potosi;15;Modesto Omiste;1;Villazon;2;Alternativa;81340074;81340076;CIDEA;U;1;194;4;
78;11605;81340016;81340016;OJO DE AGUA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340016;81340016;OJO DE AGUA;R;1;173;6;
79;11597;81340005;81340005;CORNELIO SAAVEDRA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340005;81340005;CORNELIO SAAVEDRA;U;1;217;7;
80;11599;81340007;"81340007;81340011";"MODESTO OMISTE;EDUARDO ABAROA";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340007;81340007;MODESTO OMISTE;U;1;253;7;
81;11598;81340006;"81340006;81340010;81340015;81340078";"BOLIVIA A;1RO. DE MAYO;JUNIN B;1ERO DE MAYO B";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340006;81340010;1RO. DE MAYO;U;1;865;5;
82;11594;81340002;81340002;OSCAR ALFARO;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340002;81340002;OSCAR ALFARO;U;1;512;8;
83;11660;81340073;81340075;BOLIVIA B;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340073;81340075;BOLIVIA B;U;3;777;3;
84;11600;81340008;81340008;MCAL. SUCRE;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340008;81340008;MCAL. SUCRE;U;1;951;1;
85;11593;81340001;81340001;20 DE MAYO;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340001;81340001;20 DE MAYO;U;1;295;4;
86;11603;81340014;"81340014;81340066";"MARCELO QUIROGA SANTA CRUZ A;MARCELO QUIROGA SANTA CRUZ B";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340014;81340066;MARCELO QUIROGA SANTA CRUZ B;U;1;336;1;
87;11602;81340013;"81340013;81340065";"9 DE ABRIL B;9 DE ABRIL A";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340013;81340065;9 DE ABRIL A;U;1;396;3;
88;11658;81340071;81340073;FRANZ TAMAYO DE LA FRONTERA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340071;81340073;FRANZ TAMAYO DE LA FRONTERA;U;3;657;1;
89;11663;81340078;81340077;INDUSTRIAL 9 DE ABRIL;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340078;81340077;INDUSTRIAL 9 DE ABRIL;U;1;159;8;
90;11662;81340076;"81340009;81340079";"6 DE JUNIO;6 DE JUNIO B";5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340076;81340009;6 DE JUNIO;U;1;789;1;
91;11606;81340017;81340017;DANIEL CAMPOS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340017;81340017;DANIEL CAMPOS;U;1;335;5;
92;11596;81340004;81340004;MAX FERNANDEZ ROJAS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340004;81340004;MAX FERNANDEZ ROJAS;U;1;52;1;
93;13301;81720074;81720009;CHILLAGUATAS;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720074;81720009;CHILLAGUATAS;R;1;901;8;
94;11652;81340064;81340064;SAN ANTONIO DE ROTA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340064;81340064;SAN ANTONIO DE ROTA;R;1;221;1;
95;11642;81340054;81340054;LARKAS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340054;81340054;LARKAS;R;1;854;5;
96;11607;81340018;81340018;CORRAL BLANCO;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340018;81340018;CORRAL BLANCO;R;1;170;1;
97;13025;81680089;81680091;CHAJLLA;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;81680089;81680091;CHAJLLA;R;1;216;3;
98;11601;81340012;81340012;MATANCILLAS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340012;81340012;MATANCILLAS;R;1;905;3;
99;6252;71700035;71700014;LA FALDA;6;Tarija;4;Avilez;2;Yunchara;1;Regular;71700035;71700014;LA FALDA;R;1;229;6;
100;13210;81710065;"81710004;81710005;81710078";"HEROES DEL CHACO TARDE;HEROES DEL CHACO MAANA;POCITOS";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710065;81710005;HEROES DEL CHACO MAANA;U;1;481;6;
101;13235;81720005;81720005;CACHIMAYO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720005;81720005;CACHIMAYO;R;1;232;2;
102;13267;81720037;81720038;EL CARMEN;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720037;81720038;EL CARMEN;R;1;944;1;
103;13258;81720028;81720029;SAN PEDRO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720028;81720029;SAN PEDRO;R;1;376;2;
104;11609;81340020;81340020;RAFAEL QUISPE;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340020;81340020;RAFAEL QUISPE;R;1;710;2;
105;13249;81720019;81720020;MOTOVI;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720019;81720020;MOTOVI;R;1;189;9;
106;13296;81720068;81720070;GODOFREDO ARNOLD BUSHEN;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720068;81720070;GODOFREDO ARNOLD BUSHEN;R;1;132;2;
107;13211;81710066;"81710035;81710085";"LIBERTADOR SIMON BOLIVAR 1;LIBERTADOR SIMON BOLIVAR 2";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710066;81710035;LIBERTADOR SIMON BOLIVAR 1;U;1;949;7;
108;13239;81720009;81720010;ACHERALES;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720009;81720010;ACHERALES;R;1;735;7;
109;13292;81720064;81720065;REDENCION;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720064;81720065;REDENCION;R;1;659;9;
110;13213;81710068;81710096;LIBERTADOR SIMON BOLIVAR 4;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710068;81710096;LIBERTADOR SIMON BOLIVAR 4;U;1;650;3;
111;13291;81720063;81720064;MARIA BARZOLA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720063;81720064;MARIA BARZOLA;R;1;818;1;
112;13276;81720047;81720048;LA MERCED;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720047;81720048;LA MERCED;R;1;928;2;
113;11969;81390006;81390006;23 DE MARZO DE KOLLPANI;5;Potosi;10;Sur Lipez;1;San Pablo de Lipez;1;Regular;81390006;81390006;23 DE MARZO DE KOLLPANI;R;1;601;2;
114;11641;81340053;81340053;SALITRE;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340053;81340053;SALITRE;R;1;213;9;
115;13219;81710074;"81710051;81710083";"RVDO. OLIVERIO PELLICELLI TURNO MAANA;RVDO. OLIVERIO PELLICELLI TURNO TARDE";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710074;81710051;RVDO. OLIVERIO PELLICELLI TURNO MAANA;U;1;494;9;
116;13248;81720018;81720019;MARAUELO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720018;81720019;MARAUELO;R;1;308;8;
117;6298;71710047;71710047;HITO 22 CAMPO LARGO;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;71710047;71710047;HITO 22 CAMPO LARGO;R;1;62;5;
118;13159;81710007;"81710009;81710062;81710077";"JOSE MARIANO SERRANO MAANA;JOSE MARIANO SERRANO TARDE;YACUIBA ADULTOS";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710007;81710009;JOSE MARIANO SERRANO MAANA;U;1;73;6;
119;13255;81720025;81720026;PUESTO RUEDA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720025;81720026;PUESTO RUEDA;R;1;399;7;
120;13195;81710047;"81710054;81710089";"NACIONAL PRESIDENTE GERMAN BUSCH;GERMAN BUSCH INDUSTRIAL";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710047;81710054;NACIONAL PRESIDENTE GERMAN BUSCH;U;1;890;1;
121;13313;81720087;81720092;REJARA SUD;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720087;81720092;REJARA SUD;R;1;785;0;
122;13161;81710010;"81710012;81710060;81710065";"SAGRADO CORAZON DE JESUS SECUNDARIA;SAGRADO CORAZON DE JESUS PRIMARIA;SAGRADO CORAZON DE JESUS";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710010;81710065;SAGRADO CORAZON DE JESUS;U;3;568;10;
123;13198;81710050;81710066;ADVENTISTA ESPAADY;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710050;81710066;ADVENTISTA ESPAADY;U;3;815;4;
124;13229;81710085;81710059;SAGRADO CORAZON DE JESUS INICIAL;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710085;81710059;SAGRADO CORAZON DE JESUS INICIAL;U;2;502;6;
125;13158;81710006;81710008;RAQUEL C. DE AVILA;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710006;81710008;RAQUEL C. DE AVILA;U;1;103;8;
126;13200;81710052;"81710067;81710084";"BOLIVIA MAANA;BOLIVIA TARDE";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710052;81710084;BOLIVIA TARDE;U;3;872;2;
127;13157;81710004;"81710006;81710007";"RAUL ANTELO BOLIVAR;REGIMIENTO AROMA";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710004;81710007;REGIMIENTO AROMA;U;1;663;6;
128;13163;81710012;81710015;NORAH GUTIERREZ;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710012;81710015;NORAH GUTIERREZ;U;1;590;1;
129;13162;81710011;"81710013;81710014;81710016";"CNL. MIGUEL ESTENSSORO TARDE;CNL. MIGUEL ESTENSSORO MAANA;NORA GUTIERREZ";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710011;81710013;CNL. MIGUEL ESTENSSORO TARDE;U;1;394;6;
130;13205;81710060;81710087;SEBAD - YACUIBA;6;Tarija;3;Gran Chaco;1;Yacuiba;0;Especial;81710060;81710087;SEBAD - YACUIBA;U;1;248;3;
131;13164;81710013;"81710018;81710079";"GRAL. MANUEL BELGRANO MAANA;GRAL. MANUEL BELGRANO TARDE";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710013;81710079;GRAL. MANUEL BELGRANO TARDE;U;1;830;1;
132;13196;81710048;"81710053;81710055";"PRESIDENTE GERMAN BUSCH;GRAN CHACO";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710048;81710055;GRAN CHACO;U;1;674;0;
133;13156;81710002;"81710002;81710003;81710075";"FERROVIARIA;GUIDO VILLAGOMEZ;LIBERTADOR SIMON BOLIVAR 3";6;Tarija;3;Gran Chaco;1;Yacuiba;2;Alternativa;81710002;81710075;LIBERTADOR SIMON BOLIVAR 3;U;1;188;2;
134;13197;81710049;81710064;12 DE AGOSTO PARTICULAR;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710049;81710064;12 DE AGOSTO PARTICULAR;U;3;349;1;
135;6226;71700008;71700009;CIENEGA FRONTERA;6;Tarija;4;Avilez;2;Yunchara;1;Regular;71700008;71700009;CIENEGA FRONTERA;R;1;519;6;
136;13266;81720036;81720037;EL BAIZAL;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720036;81720037;EL BAIZAL;R;1;134;2;
137;13160;81710008;"81710010;81710103";"CLUB DE LEONES;CLUB DE LEONES II";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710008;81710103;CLUB DE LEONES II;U;1;668;6;
138;13194;81710046;81710011;JUANA AZURDUY DE PADILLA;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710046;81710011;JUANA AZURDUY DE PADILLA;U;1;984;4;
139;13193;81710044;81710072;NIO JESUS;6;Tarija;3;Gran Chaco;1;Yacuiba;2;Alternativa;81710044;81710072;NIO JESUS;U;2;966;6;
140;11650;81340062;81340062;JUANA AZURDUY DE PADILLA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340062;81340062;JUANA AZURDUY DE PADILLA;R;1;414;1;
141;13283;81720054;81720055;SIMON BOLIVAR;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720054;81720055;SIMON BOLIVAR;R;1;840;1;
142;11640;81340052;81340052;HORNOS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340052;81340052;HORNOS;R;1;54;1;
143;11974;81390011;81390011;COLORADOS DE BOLIVIA DE QUETENA CHICO;5;Potosi;10;Sur Lipez;1;San Pablo de Lipez;1;Regular;81390011;81390011;COLORADOS DE BOLIVIA DE QUETENA CHICO;R;1;577;6;
144;11975;81390012;81390012;EDUARDO ABAROA DE QUETENA GRANDE;5;Potosi;10;Sur Lipez;1;San Pablo de Lipez;1;Regular;81390012;81390012;EDUARDO ABAROA DE QUETENA GRANDE;R;1;243;3;
145;11978;81390015;81390015;RIO SECO;5;Potosi;10;Sur Lipez;3;San Antonio de Esmoraca;1;Regular;81390015;81390015;RIO SECO;R;1;35;10;
146;13155;81710001;"81710001;81710095";"NESTOR PAZ GALARZA;NESTOR PAZ GALARZA 2";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710001;81710001;NESTOR PAZ GALARZA;U;1;411;4;
147;13230;81710086;81710088;MCAL. SUCRE;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710086;81710088;MCAL. SUCRE;U;1;839;9;
148;12991;81680050;81680051;PAMPA REDONDA;6;Tarija;3;Gran Chaco;2;Carapari;1;Regular;81680050;81680051;PAMPA REDONDA;R;1;359;2;
149;13204;81710058;"81710052;81710082";"YACUIBA;YACUIBA SECUNDARIO";6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710058;81710052;YACUIBA;U;1;405;6;
150;11612;81340023;81340023;CUARTOS;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340023;81340023;CUARTOS;R;1;986;7;
151;13300;81720073;81720075;SAN FRANCISCO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720073;81720075;SAN FRANCISCO;R;1;438;8;
152;13265;81720035;81720036;VOLCAN BLANCO;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720035;81720036;VOLCAN BLANCO;R;1;265;1;
153;13209;81710064;81710093;D' ORBIGNY;6;Tarija;3;Gran Chaco;1;Yacuiba;1;Regular;81710064;81710093;D' ORBIGNY;R;1;540;6;
154;13272;81720042;81720043;FROILAN TEJERINA;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720042;81720043;FROILAN TEJERINA;R;1;271;5;
155;11643;81340055;81340055;TINCUYA;5;Potosi;15;Modesto Omiste;1;Villazon;1;Regular;81340055;81340055;TINCUYA;R;1;517;8;
156;13299;81720072;81720074;21 DE SEPTIEMBRE;6;Tarija;2;Arce;1;Padcaya;1;Regular;81720072;81720074;21 DE SEPTIEMBRE;R;1;155;8;
